date,temp max,temp min
1951-01-01,28.09000015,17.25
1951-02-01,28.62999916,16.71999931
1951-03-01,29.15999985,15.47000027
1951-04-01,29.02000046,15.43000031
1951-05-01,28.77000046,15.01000023
1951-06-01,28.04999924,15.60000038
1951-07-01,28.45000076,15.43999958
1951-08-01,28.30999947,15.39999962
1951-09-01,29.51000023,15.01000023
1951-10-01,29.82999992,14.64000034
1951-11-01,28.78000069,15.46000004
1951-12-01,29.13999939,15.25
1951-01-02,27.96999931,13.52999973
1951-02-02,27.37000084,13.03999996
1951-03-02,28.25,13.32999992
1951-04-02,28.56999969,14.97000027
1951-05-02,28.52000046,14.38000011
1951-06-02,28.22999954,13.47999954
1951-07-02,28.87000084,15.59000015
1951-08-02,31.56999969,18.38999939
1951-09-02,32.59999847,17.95999908
1951-10-02,31.46999931,17.45999908
1951-11-02,30.54999924,16.5
1951-12-02,29.37999916,16.17000008
1951-01-03,33.16999817,20.48999977
1951-02-03,34.22000122,19.67000008
1951-03-03,35.04999924,19.29000092
1951-04-03,34.22000122,18.75
1951-05-03,33.65999985,18.96999931
1951-06-03,33.75999832,19.65999985
1951-07-03,34.33000183,20.32999992
1951-08-03,36.06999969,20.95999908
1951-09-03,34.49000168,20.95999908
1951-10-03,33.54999924,20.82999992
1951-11-03,33.95000076,20.17000008
1951-12-03,33.81999969,20.39999962
1951-01-04,30.65999985,18.34000015
1951-02-04,30.81999969,19.59000015
1951-03-04,31.19000053,19.20000076
1951-04-04,32.36000061,19.97999954
1951-05-04,32.0,20.63999939
1951-06-04,31.77000046,20.79999924
1951-07-04,31.48999977,20.61000061
1951-08-04,33.06000137,21.84000015
1951-09-04,33.66999817,22.55999947
1951-10-04,34.47000122,21.31999969
1951-11-04,35.20999908,22.13999939
1951-12-04,35.11999893,22.57999992
1951-01-05,34.20999908,21.93000031
1951-02-05,34.06999969,21.92000008
1951-03-05,34.31000137,22.71999931
1951-04-05,34.02999878,23.23999977
1951-05-05,34.04999924,24.02000046
1951-06-05,34.29999924,23.95000076
1951-07-05,34.65999985,24.23999977
1951-08-05,34.34000015,24.45999908
1951-09-05,36.02000046,24.92000008
1951-10-05,35.54999924,24.30999947
1951-11-05,35.72999954,24.31999969
1951-12-05,35.72000122,24.75
1951-01-06,33.93000031,24.46999931
1951-02-06,32.68000031,24.25
1951-03-06,32.22000122,24.72999954
1951-04-06,33.11999893,23.82999992
1951-05-06,31.70000076,23.85000038
1951-06-06,30.54999924,24.36000061
1951-07-06,31.47999954,24.68000031
1951-08-06,32.86000061,24.35000038
1951-09-06,31.92000008,24.36000061
1951-10-06,33.66999817,24.79000092
1951-11-06,31.73999977,24.46999931
1951-12-06,30.79000092,22.86000061
